brand,model,name,year,fuel_type,transmission,kilometers_num,price_inr,age_years_2025
Honda,ACCORD,2013 Honda Accord  2.4L I-VTEC MT,2013,Petrol,Manual,83000,290000,12
Honda,ACCORD,2010 Honda Accord  2.4L I-VTEC MT,2010,Petrol,Manual,66950,209000,15
Honda,ACCORD,2010 Honda Accord  2.4L I-VTEC AT,2010,Petrol,Auto,98740,199000,15
Honda,AMAZE,2022 Honda Amaze  1.2L I-VTEC S,2022,Petrol,Manual,22520,500000,3
Honda,AMAZE,2022 Honda Amaze  1.2L I-VTEC VX CVT,2022,Petrol,Auto,48980,689000,3
Honda,AMAZE,2021 Honda Amaze  1.2L I-VTEC VX,2021,Petrol,Manual,46240,600000,4
Honda,AMAZE,2020 Honda Amaze  1.2L I-VTEC VX CVT,2020,Petrol,Auto,39840,545000,5
Honda,AMAZE,2020 Honda Amaze  1.2L I-VTEC S,2020,Petrol,Manual,40010,580000,5
Honda,AMAZE,2019 Honda Amaze  1.2L I-VTEC VX,2019,Petrol,Manual,34630,510000,6
Honda,AMAZE,2019 Honda Amaze  1.5L I-DTEC VX CVT,2019,Diesel,Auto,93850,520000,6
Honda,AMAZE,2019 Honda Amaze  1.2L I-VTEC V CVT,2019,Petrol,Auto,100000,603000,6
Honda,AMAZE,2018 Honda Amaze  1.2L I-VTEC V CVT,2018,Petrol,Auto,38300,495000,7
Honda,AMAZE,2018 Honda Amaze  1.2L I-VTEC V CVT,2018,Petrol,Auto,66980,490000,7
Honda,AMAZE,2018 Honda Amaze  1.5L I-DTEC V CVT,2018,Diesel,Auto,71000,580000,7
Honda,AMAZE,2018 Honda Amaze  1.2L I-VTEC V CVT,2018,Petrol,Auto,72410,477000,7
Honda,AMAZE,2017 Honda Amaze  1.2L I-VTEC S,2017,Petrol,Manual,55980,287000,8
Honda,AMAZE,2016 Honda Amaze  1.2L I-VTEC SX,2016,Petrol,Manual,47550,375000,9
Honda,AMAZE,2016 Honda Amaze  1.2L I-VTEC SX,2016,Petrol,Manual,48880,394000,9
Honda,AMAZE,2016 Honda Amaze  1.2L I-VTEC VX AT,2016,Petrol,Auto,56960,358000,9
Honda,AMAZE,2016 Honda Amaze  1.2L I-VTEC SX,2016,Petrol,Manual,73520,306000,9
Honda,AMAZE,2016 Honda Amaze  1.5L I-DTEC VX,2016,Diesel,Manual,99100,298000,9
Honda,AMAZE,2016 Honda Amaze  1.5L I-DTEC SX,2016,Diesel,Manual,140000,347000,9
Honda,AMAZE,2015 Honda Amaze  1.2L I-VTEC S,2015,Petrol,Manual,34600,338000,10
Honda,AMAZE,2015 Honda Amaze  1.2L I-VTEC S AT,2015,Petrol,Auto,36280,262000,10
Honda,AMAZE,2015 Honda Amaze  1.2L I-VTEC SX,2015,Petrol,Manual,45280,302000,10
Honda,AMAZE,2015 Honda Amaze  1.2L I-VTEC VX AT,2015,Petrol,Auto,50560,325000,10
Honda,AMAZE,2015 Honda Amaze  1.2L I-VTEC S AT,2015,Petrol,Auto,54640,330000,10
Honda,AMAZE,2015 Honda Amaze  1.2L I-VTEC VX,2015,Petrol,Manual,68070,306000,10
Honda,AMAZE,2015 Honda Amaze  1.5L I-DTEC VX,2015,Diesel,Manual,83540,360000,10
Honda,AMAZE,2015 Honda Amaze  1.2L I-VTEC SX,2015,Petrol,Manual,98070,283000,10
